MS_DRG ,MS_DRG_DESCRIPTION
008,Simultaneous pancreas and kidney transplant
010,Pancreas transplant
011,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with mcc"
012,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with cc"
013,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy without cc/mcc"
019,Simultaneous pancreas and kidney transplant with hemodialysis
020,Intracranial vascular procedures with principal diagnosis hemorrhage with mcc
021,Intracranial vascular procedures with principal diagnosis hemorrhage with cc
022,Intracranial vascular procedures with principal diagnosis hemorrhage without cc/mcc
023,Craniotomy with major device implant or acute complex cns principal diagnosis with mcc or chemotherapy implant or epilepsy with neurostimulator
024,Craniotomy with major device implant or acute complex cns principal diagnosis without mcc
052,Spinal disorders and injuries with cc/mcc
053,Spinal disorders and injuries without cc/mcc
054,Nervous system neoplasms with mcc
055,Nervous system neoplasms without mcc
056,Degenerative nervous system disorders with mcc
057,Degenerative nervous system disorders without mcc
058,Multiple sclerosis and cerebellar ataxia with mcc
059,Multiple sclerosis and cerebellar ataxia with cc
060,Multiple sclerosis and cerebellar ataxia without cc/mcc
061,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with mcc"
062,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with cc"
063,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without cc/mcc"
064,Intracranial hemorrhage or cerebral infarction with mcc
065,Intracranial hemorrhage or cerebral infarction with cc or tpa in 24 hours
066,Intracranial hemorrhage or cerebral infarction without cc/mcc
067,Nonspecific cva and precerebral occlusion without infarction with mcc
068,Nonspecific cva and precerebral occlusion without infarction without mcc
069,Transient ischemia without thrombolytic
070,Nonspecific cerebrovascular disorders with mcc
071,Nonspecific cerebrovascular disorders with cc
072,Nonspecific cerebrovascular disorders without cc/mcc
073,Cranial and peripheral nerve disorders with mcc
074,Cranial and peripheral nerve disorders without mcc
075,Viral meningitis with cc/mcc
076,Viral meningitis without cc/mcc
077,Hypertensive encephalopathy with mcc
078,Hypertensive encephalopathy with cc
079,Hypertensive encephalopathy without cc/mcc
080,Nontraumatic stupor and coma with mcc
081,Nontraumatic stupor and coma without mcc
082,Traumatic stupor and coma >1 hour with mcc
083,Traumatic stupor and coma >1 hour with cc
084,Traumatic stupor and coma >1 hour without cc/mcc
085,Traumatic stupor and coma <1 hour with mcc
086,Traumatic stupor and coma <1 hour with cc
087,Traumatic stupor and coma <1 hour without cc/mcc
088,Concussion with mcc
089,Concussion with cc
090,Concussion without cc/mcc
091,Other disorders of nervous system with mcc
092,Other disorders of nervous system with cc
093,Other disorders of nervous system without cc/mcc
094,Bacterial and tuberculous infections of nervous system with mcc
095,Bacterial and tuberculous infections of nervous system with cc
096,Bacterial and tuberculous infections of nervous system without cc/mcc
097,Non-bacterial infection of nervous system except viral meningitis with mcc
098,Non-bacterial infection of nervous system except viral meningitis with cc
099,Non-bacterial infection of nervous system except viral meningitis without cc/mcc
100,Seizures with mcc
101,Seizures without mcc
102,Headaches with mcc
103,Headaches without mcc
121,Acute major eye infections with cc/mcc
122,Acute major eye infections without cc/mcc
123,Neurological eye disorders
124,Other disorders of the eye with mcc
125,Other disorders of the eye without mcc
146,"Ear, nose, mouth and throat malignancy with mcc"
147,"Ear, nose, mouth and throat malignancy with cc"
148,"Ear, nose, mouth and throat malignancy without cc/mcc"
149,Dysequilibrium
150,Epistaxis with mcc
151,Epistaxis without mcc
152,Otitis media and uri with mcc
153,Otitis media and uri without mcc
154,"Other ear, nose, mouth and throat diagnoses with mcc"
155,"Other ear, nose, mouth and throat diagnoses with cc"
156,"Other ear, nose, mouth and throat diagnoses without cc/mcc"
157,Dental and oral diseases with mcc
158,Dental and oral diseases with cc
159,Dental and oral diseases without cc/mcc
175,Pulmonary embolism with mcc or acute cor pulmonale
176,Pulmonary embolism without mcc
177,Respiratory infections and inflammations with mcc
178,Respiratory infections and inflammations with cc
179,Respiratory infections and inflammations without cc/mcc
180,Respiratory neoplasms with mcc
181,Respiratory neoplasms with cc
182,Respiratory neoplasms without cc/mcc
183,Major chest trauma with mcc
184,Major chest trauma with cc
185,Major chest trauma without cc/mcc
186,Pleural effusion with mcc
187,Pleural effusion with cc
188,Pleural effusion without cc/mcc
189,Pulmonary edema and respiratory failure
190,Chronic obstructive pulmonary disease with mcc
191,Chronic obstructive pulmonary disease with cc
192,Chronic obstructive pulmonary disease without cc/mcc
193,Simple pneumonia and pleurisy with mcc
194,Simple pneumonia and pleurisy with cc
195,Simple pneumonia and pleurisy without cc/mcc
196,Interstitial lung disease with mcc
197,Interstitial lung disease with cc
198,Interstitial lung disease without cc/mcc
199,Pneumothorax with mcc
200,Pneumothorax with cc
201,Pneumothorax without cc/mcc
202,Bronchitis and asthma with cc/mcc
203,Bronchitis and asthma without cc/mcc
204,Respiratory signs and symptoms
205,Other respiratory system diagnoses with mcc
206,Other respiratory system diagnoses without mcc
222,"Cardiac defibrillator implant with cardiac catheterization with ami, hf or shock with mcc"
223,"Cardiac defibrillator implant with cardiac catheterization with ami, hf or shock without mcc"
280,"Acute myocardial infarction, discharged alive with mcc"
281,"Acute myocardial infarction, discharged alive with cc"
282,"Acute myocardial infarction, discharged alive without cc/mcc"
283,"Acute myocardial infarction, expired with mcc"
284,"Acute myocardial infarction, expired with cc"
285,"Acute myocardial infarction, expired without cc/mcc"
288,Acute and subacute endocarditis with mcc
289,Acute and subacute endocarditis with cc
290,Acute and subacute endocarditis without cc/mcc
291,Heart failure and shock with mcc
292,Heart failure and shock with cc
293,Heart failure and shock without cc/mcc
294,Deep vein thrombophlebitis with cc/mcc
295,Deep vein thrombophlebitis without cc/mcc
296,"Cardiac arrest, unexplained with mcc"
297,"Cardiac arrest, unexplained with cc"
